18-12-05 16:18:58    Log Started
18-12-05 16:18:58 Opened C:\Users\Garrett\Desktop\Soldat Server\soldat.ini
18-12-05 16:18:58 Creating network interface.
18-12-05 16:18:58 Loading Animations.
18-12-05 16:18:58 Loading Lobby Servers List
18-12-05 16:18:58 Loading Maps List
18-12-05 16:18:58 Loading Map.
18-12-05 16:18:58 Creating Weapons.
18-12-05 16:18:58 Starting Game Server.
18-12-05 16:18:58 TCP/IP File Server started
18-12-05 16:21:52  Net - Garrett connected 12-5-2018 16:21:52
18-12-05 16:24:18  Net - Drummer connected 12-5-2018 16:24:18
18-12-05 16:29:11  Net - Drummer disconnected 12-5-2018 16:29:11
18-12-05 16:29:19  Net - Garrett disconnected 12-5-2018 16:29:19
18-12-05 16:48:59 TCP/IP File Server started
18-12-05 17:18:54 TCP/IP File Server started
18-12-05 17:48:54 TCP/IP File Server started
18-12-05 18:18:54 TCP/IP File Server started
18-12-05 18:48:54 TCP/IP File Server started
18-12-05 19:18:54 TCP/IP File Server started
18-12-05 19:48:54 TCP/IP File Server started
18-12-05 20:18:54 TCP/IP File Server started
18-12-05 20:48:54 TCP/IP File Server started
18-12-05 21:18:54 TCP/IP File Server started
18-12-05 21:48:54 TCP/IP File Server started
18-12-05 22:18:54 TCP/IP File Server started
18-12-05 22:48:54 TCP/IP File Server started
18-12-05 23:18:54 TCP/IP File Server started
18-12-05 23:48:54 TCP/IP File Server started
18-12-06 00:18:54 TCP/IP File Server started
18-12-06 00:48:54 TCP/IP File Server started
18-12-06 01:18:54 TCP/IP File Server started
18-12-06 01:48:54 TCP/IP File Server started
18-12-06 02:18:54 TCP/IP File Server started
18-12-06 02:48:54 TCP/IP File Server started
18-12-06 03:18:54 TCP/IP File Server started
18-12-06 03:48:54 TCP/IP File Server started
18-12-06 04:18:54 TCP/IP File Server started
18-12-06 04:48:54 TCP/IP File Server started
18-12-06 05:18:54 TCP/IP File Server started
18-12-06 05:48:54 TCP/IP File Server started
18-12-06 06:18:54 TCP/IP File Server started
18-12-06 06:48:54 TCP/IP File Server started
18-12-06 07:18:54 TCP/IP File Server started
18-12-06 07:48:54 TCP/IP File Server started
18-12-06 08:18:54 TCP/IP File Server started
18-12-06 08:48:54 TCP/IP File Server started
18-12-06 09:18:54 TCP/IP File Server started
18-12-06 09:48:54 TCP/IP File Server started
18-12-06 10:18:54 TCP/IP File Server started
18-12-06 10:48:54 TCP/IP File Server started
18-12-06 11:18:54 TCP/IP File Server started
18-12-06 11:48:54 TCP/IP File Server started
18-12-06 12:18:54 TCP/IP File Server started
18-12-06 12:48:54 TCP/IP File Server started
18-12-06 13:18:54 TCP/IP File Server started
18-12-06 13:48:59 TCP/IP File Server started
18-12-06 14:18:59 TCP/IP File Server started
18-12-06 14:48:59 TCP/IP File Server started
18-12-06 15:18:59 TCP/IP File Server started
18-12-06 15:48:59 TCP/IP File Server started
18-12-06 16:18:59 TCP/IP File Server started
18-12-06 16:48:59 TCP/IP File Server started
18-12-06 17:18:59 TCP/IP File Server started
18-12-06 17:48:59 TCP/IP File Server started
18-12-06 18:18:59 TCP/IP File Server started
18-12-06 18:48:57 TCP/IP File Server started
18-12-06 19:18:57 TCP/IP File Server started
18-12-06 19:48:57 TCP/IP File Server started
18-12-06 20:18:57 TCP/IP File Server started
18-12-06 20:48:57 TCP/IP File Server started
18-12-06 21:18:57 TCP/IP File Server started
18-12-06 21:48:57 TCP/IP File Server started
18-12-06 22:18:57 TCP/IP File Server started
18-12-06 22:48:57 TCP/IP File Server started
18-12-06 23:18:57 TCP/IP File Server started
18-12-06 23:48:57 TCP/IP File Server started
18-12-07 00:18:57 TCP/IP File Server started
18-12-07 00:48:57 TCP/IP File Server started
18-12-07 01:18:57 TCP/IP File Server started
18-12-07 01:48:57 TCP/IP File Server started
18-12-07 02:18:57 TCP/IP File Server started
18-12-07 02:48:57 TCP/IP File Server started
18-12-07 03:18:57 TCP/IP File Server started
18-12-07 03:48:57 TCP/IP File Server started
18-12-07 04:18:57 TCP/IP File Server started
18-12-07 04:48:57 TCP/IP File Server started
18-12-07 05:18:57 TCP/IP File Server started
18-12-07 05:48:57 TCP/IP File Server started
18-12-07 06:18:57 TCP/IP File Server started
18-12-07 06:48:57 TCP/IP File Server started
18-12-07 07:18:57 TCP/IP File Server started
18-12-07 07:48:57 TCP/IP File Server started
18-12-07 08:18:57 TCP/IP File Server started
18-12-07 08:48:57 TCP/IP File Server started
18-12-07 09:18:57 TCP/IP File Server started
18-12-07 09:48:57 TCP/IP File Server started
18-12-07 10:18:57 TCP/IP File Server started
18-12-07 10:48:57 TCP/IP File Server started
18-12-07 11:18:57 TCP/IP File Server started
18-12-07 11:48:57 TCP/IP File Server started
18-12-07 12:18:57 TCP/IP File Server started
18-12-07 12:48:57 TCP/IP File Server started
18-12-07 13:18:57 TCP/IP File Server started
18-12-07 13:48:57 TCP/IP File Server started
18-12-07 14:18:57 TCP/IP File Server started
18-12-07 14:48:57 TCP/IP File Server started
18-12-07 15:18:57 TCP/IP File Server started
18-12-07 15:48:57 TCP/IP File Server started
18-12-07 16:18:57 TCP/IP File Server started
18-12-07 16:48:57 TCP/IP File Server started
18-12-07 17:18:57 TCP/IP File Server started
18-12-07 17:48:57 TCP/IP File Server started
18-12-07 18:18:57 TCP/IP File Server started
18-12-07 18:48:57 TCP/IP File Server started
18-12-07 19:18:57 TCP/IP File Server started
18-12-07 19:48:57 TCP/IP File Server started
18-12-07 20:18:57 TCP/IP File Server started
18-12-07 20:48:55 TCP/IP File Server started
18-12-07 21:18:55 TCP/IP File Server started
18-12-07 21:48:55 TCP/IP File Server started
